file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
adapter-removed/C100.trimmed_1.fastq	FASTQ	DNA	128192	28840576	9	225.0	225
adapter-removed/C100.trimmed_2.fastq	FASTQ	DNA	128192	28712119	18	224.0	224
adapter-removed/C101.trimmed_1.fastq	FASTQ	DNA	139263	31332073	8	225.0	225
adapter-removed/C101.trimmed_2.fastq	FASTQ	DNA	139263	31191345	41	224.0	224
adapter-removed/C102.trimmed_1.fastq	FASTQ	DNA	141936	31932182	4	225.0	225
adapter-removed/C102.trimmed_2.fastq	FASTQ	DNA	141936	31783902	3	223.9	224
adapter-removed/C103.trimmed_1.fastq	FASTQ	DNA	117651	26468267	9	225.0	225
adapter-removed/C103.trimmed_2.fastq	FASTQ	DNA	117651	26345181	3	223.9	224
adapter-removed/C104.trimmed_1.fastq	FASTQ	DNA	100493	22609263	30	225.0	225
adapter-removed/C104.trimmed_2.fastq	FASTQ	DNA	100493	22509045	30	224.0	224
adapter-removed/C105.trimmed_1.fastq	FASTQ	DNA	75414	16966627	42	225.0	225
adapter-removed/C105.trimmed_2.fastq	FASTQ	DNA	75414	16891408	47	224.0	224
adapter-removed/C106.trimmed_1.fastq	FASTQ	DNA	146588	32979581	46	225.0	225
adapter-removed/C106.trimmed_2.fastq	FASTQ	DNA	146588	32834257	41	224.0	224
adapter-removed/C107.trimmed_1.fastq	FASTQ	DNA	144180	32437119	27	225.0	225
adapter-removed/C107.trimmed_2.fastq	FASTQ	DNA	144180	32293435	41	224.0	224
adapter-removed/C108.trimmed_1.fastq	FASTQ	DNA	132693	29853498	24	225.0	225
adapter-removed/C108.trimmed_2.fastq	FASTQ	DNA	132693	29720875	28	224.0	224
adapter-removed/C109.trimmed_1.fastq	FASTQ	DNA	134370	30231516	45	225.0	225
adapter-removed/C109.trimmed_2.fastq	FASTQ	DNA	134370	30097116	6	224.0	224
adapter-removed/C10.trimmed_1.fastq	FASTQ	DNA	118571	26675266	8	225.0	225
